REF NO.,DATE,CATEGORY,CLIENT: PROJECT,FOREIGN AMOUNT,EXCHANGE RATE,CURRENCY,AMOUNT,DEPARTMENT,LINE OF BUSINESS,OFFICE,BILLABLE,MEMO,RECEIPT,ATTACH FILE,CORPORATE CARD,CARD HOLDER NUMBER
208,1/17/25,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1217_metropolis_2025-01-16_26_25.jpg,,
209,1/16/25,Company Meetings and Meals,,78.0,1,USD,78.0,CEO,,,,Melrose Billiards - Meeting with Jennifer Vessio,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1216_melrose_billiard_parlor_2025-01-15_78_00.jpg,,
210,1/15/25,Software subscriptions,,4.84,1,USD,4.84,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1212_cloudflare_2025-01-15_4_83.jpg,,
211,1/15/25,Company Meetings and Meals,,50.28,1,USD,50.28,CEO,,,,Lunch for Review Reba terms meeting on January 15.,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1213_jersey_mikes_online_uc_2025-01-15_50_28.jpg,,
212,1/14/25,Software subscriptions,,5.0,1,USD,5.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1209_cloudflare_2025-01-14_5_00.jpg,,
213,1/14/25,DH: Travel Costs - Gas/Rental Car,,9.73,1,USD,9.73,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1210_metropolis_2025-01-14_9_73.jpg,,
214,1/14/25,DH: Travel Costs - Gas/Rental Car,,26.22,1,USD,26.22,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1211_pmc_paid_parking_2025-01-14_26_21.jpg,,
215,1/13/25,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Sourcegraph - Code search and intelligence (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1208_sourcegraph_inc_2025-01-13_9_00.jpg,,
216,1/9/25,DH: Travel Costs - Gas/Rental Car,,21.0,1,USD,21.0,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1204_metropolis_2025-01-08_21_00.jpg,,
217,1/9/25,DH: Travel Costs - Gas/Rental Car,,23.21,1,USD,23.21,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1205_stoppingby_2025-01-09_20_00.png,,
218,1/8/25,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,CalendarBridge - Calendar sync across accounts (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1200_calendarbridge_2025-01-08_10_00.png,,
219,1/8/25,DH: Travel Costs - Gas/Rental Car,,17.88,1,USD,17.88,CEO,,,,Parking - Diceys dinner,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1201_metropolis_2025-01-08_17_87.jpg,,
220,1/8/25,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1202_spotify_usa_2025-01-08_13_13.jpg,,
221,1/8/25,Company Meetings and Meals,,24.56,1,USD,24.56,CEO,,,,Diceys Tavern - Dinner with Bill Kelly and Brian,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1203_dicey_s_pizza_tavern_chicago_2025-01-08_24_55.png,,
222,1/7/25,Company Meetings and Meals,,16.54,1,USD,16.54,CEO,,,,Mon Amie Coffee - Coffee with Rachel,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1199_monamie_coffee_2025-01-07_16_53.jpg,,
223,1/6/25,DH: Travel Costs - Gas/Rental Car,,18.47,1,USD,18.47,CEO,,,,Parking - Donelson Pub meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1193_metropolis_parking_2025-01-06_18_46.jpg,,
224,1/6/25,DH: Travel Costs - Gas/Rental Car,,15.99,1,USD,15.99,CEO,,,,Parking - Donelson Pub meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1194_metropolis_parking_2025-01-06_15_99.jpg,,
225,1/6/25,Company Meetings and Meals,,72.38,1,USD,72.38,CEO,Down Home : Music,,,Soho House Nashville - Coffee with Devin Ford (CMA),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1195_sh_nashville_other_2025-01-06_72_37.jpg,,
226,1/6/25,Company Meetings and Meals,,13.5,1,USD,13.5,CEO,,,,Donelson Pub - Meeting with Doug Phillips (Sony) and Arliss Albritton,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1196_unknown_address_suggests_nashv_2025-01-05_13_50.jpg,,
227,1/6/25,Company Meetings and Meals,,50.0,1,USD,50.0,CEO,,,,Donelson Pub - Meeting with Doug Phillips (Sony) and Arliss Albritton,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1197_the_donelson_pub_2025-01-05_50_00.jpg,,
228,1/5/25,Company Meetings and Meals,,155.6,1,USD,155.6,CEO,,,,"The Goat Mount Juliet - Dinner with Rachel, Kevin Sabbe",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1192_the_goat_mount_juliet_2025-01-04_135_59.jpg,,
229,1/4/25,Company Meetings and Meals,,78.36,1,USD,78.36,CEO,Down Home : Music,,,Del Friscos Brentwood - Dinner with Ben Kline (Red Light Management),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1190_del_frisco_s_grille_2025-01-03_78_35.jpg,,
230,1/4/25,Company Meetings and Meals,,65.88,1,USD,65.88,CEO,Down Home : Music,,,Del Friscos Brentwood - Dinner with Ben Kline (Red Light Management),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1191_del_frisco_s_grille_2025-01-03_65_87.jpg,,
231,1/1/25,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1189_expensify_2025-01-01_19_76.jpg,,
232,1/1/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4351_anthropic_2025-01-01_21_95.jpg,,
233,12/31/24,Software subscriptions,,31.91,1,USD,31.91,CEO,,,,Apple - App Store subscriptions (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4323_apple_app_store_purchase_2024-12-31_31_91.png,,
234,12/30/24,Company Meetings and Meals,,51.3,1,USD,51.3,CEO,,,,"Pizza - Down Home weekly check-in with Rachel, Kevin Sabbe",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1187_little_caesars_2024-12-30_51_29.jpg,,
235,12/30/24,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1188_midjourney_inc_2024-12-29_32_92.jpg,,
236,12/29/24,Software subscriptions,,16.45,1,USD,16.45,CEO,,,,Apple - App Store subscriptions (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4326_apple_app_store_purchase_2024-12-29_16_45.png,,
237,12/27/24,Software subscriptions,,40.33,1,USD,40.33,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4346_apple_apple_one_premier_2024-12-27_40_33.png,,
238,12/25/24,Software subscriptions,,44.25,1,USD,44.25,CEO,,,,ShoeBoxed - Receipt scanning and organization (Monthly) - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1185_missing_receipt_form.png,,
239,12/24/24,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1183_anthropic_2024-12-23_21_94.jpg,,
240,12/24/24,Software subscriptions,,28.0,1,USD,28.0,CEO,,,,Pika Art - AI video generation (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1184_prika_2024-12-23_28_00.jpg,,
241,12/20/24,Company Meetings and Meals,,20.68,1,USD,20.68,CEO,,,,Soho House Nashville - Coffee with Mandy Goenner (Taillight),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1178_soho_house_nashville_2024-12-20_20_67.jpg,,
242,12/20/24,Company Meetings and Meals,,49.84,1,USD,49.84,CEO,Down Home : Music,,,Green Hills Grille - Lunch with Cindy Mabe (UMG),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1179_green_hills_grille_2024-12-20_49_84.jpg,,
243,12/19/24,Company Meetings and Meals,,130.12,1,USD,130.12,CEO,,,,Corner Pub - Dinner with Scott Siman (Em.co) and Dallas Jackson,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1175_corner_pub_2024-12-19_130_12.jpg,,
244,12/19/24,DH: Travel Costs - Gas/Rental Car,,16.29,1,USD,16.29,CEO,,,,Parking - Film/TV meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1176_metropolis_2024-12-18_15_99.jpg,,
245,12/19/24,Software subscriptions,,360.0,1,USD,360.0,CEO,Down Home : Music,,,Rostr Pro - Music industry CRM and contacts (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1177_rostr_inc_2024-12-19_360_00.jpg,,
246,12/18/24,Software subscriptions,,160.0,1,USD,160.0,CEO,Down Home : Music,,,Chartmetric - Music industry analytics (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1171_chartmetric_inc_2024-12-18_160_00.jpg,,
247,12/18/24,DH: Travel Costs - Gas/Rental Car,,15.99,1,USD,15.99,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1172_metropolis_2024-12-18_15_99.jpg,,
248,12/18/24,Company Meetings and Meals,,55.98,1,USD,55.98,CEO,,,,W Nashville - Event,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1173_w_nashville_2024-12-18_55_97.jpg,,
249,12/16/24,Company Meetings and Meals,,45.24,1,USD,45.24,CEO,,,,Soho House Nashville - Down Home check-in with Rachel,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1168_soho_house_nashville_2019-11-08_45_24.jpg,,
250,12/14/24,Software subscriptions,,5.0,1,USD,5.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1164_cloudflare_2025-01-14_5_00.jpg,,
251,12/13/24,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Sourcegraph - Code search and intelligence (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1162_sourcegraph_inc_2024-12-13_9_00.jpg,,
252,12/12/24,DH: Travel Costs - Gas/Rental Car,,21.0,1,USD,21.0,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1160_metropolis_2024-12-12_21_00.jpg,,
253,12/12/24,Company Meetings and Meals,,15.51,1,USD,15.51,CEO,,,,Soho House Nashville - Comedy rehearsal with Jason Ross (Down Home),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1161_soho_house_nashville_2024-12-12_15_50.png,,
254,12/12/24,Software subscriptions,,17.55,1,USD,17.55,CEO,,,,Apple - App Store subscriptions (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4331_apple_app_store_purchase_2024-12-12_17_55.png,,
255,12/9/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,34.07,1,USD,34.07,CEO,Down Home : Brand Ventures,,,Uber from Nashville Airport to home office - returning from NFR Finals,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1158_uber_2024-12-08_34_07.jpg,,
256,12/9/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,46.83,1,USD,46.83,CEO,Down Home : Brand Ventures,,,Uber around Nashville - post-NFR meetings,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1159_uber_2024-12-08_46_82.jpg,,
257,12/8/24,DH: Travel Costs - Hotel/Lodging,PROJ299 Music City Rodeo,108.84,1,USD,108.84,CEO,,,,Virgin Hotel - Resort fee Las Vegas,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/416_vhlv_lodging_2024-12-08_108_84.png,,
258,12/8/24,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,CalendarBridge - Calendar sync across accounts (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1155_calendarbridge_2024-12-08_10_00.jpg,,
259,12/8/24,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1156_spotify_usa_inc_2024-12-08_13_13.jpg,,
260,12/8/24,DH: Travel Costs - Hotel/Lodging,PROJ299 Music City Rodeo,35.0,1,USD,35.0,CEO,,,,Virgin Hotel Kitchen - Breakfast during Vegas trip,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1157_vhlv_kitchen_at_common_2024-12-08_35_00.jpg,,
261,12/7/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,16.83,1,USD,16.83,CEO,Down Home : Brand Ventures,,,Curb Taxi - Las Vegas NFR transportation - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1146_missing_receipt_form.png,,
262,12/7/24,Software subscriptions,,766.92,1,USD,766.92,CEO,,,,Cursor - AI code editor (Annual),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1147_cursor_2024-12-07_766_91.png,,
263,12/7/24,Company Meetings and Meals,PROJ299 Music City Rodeo,19.0,1,USD,19.0,CEO,Down Home : Brand Ventures,,,Desert Star Lounge - NFR Vegas,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1148_desert_star_bar_2024-12-07_19_00.jpg,,
264,12/7/24,DH: Travel Costs - Hotel/Lodging,PROJ299 Music City Rodeo,1142.43,1,USD,1142.43,CEO,Down Home : Brand Ventures,,,Golden Nugget Hotel - NFR Las Vegas lodging,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1149_golden_nugget_las_vegas_2024-12-07_1142_43.png,,
265,12/7/24,DH: Travel Costs - Hotel/Lodging,PROJ299 Music City Rodeo,355.0,1,USD,355.0,CEO,,,,HotelTonight - Virgin Hotel Las Vegas,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1150_hoteltonight_for_virgin_hotels_2024-12-06_355_00.png,,
266,12/7/24,Company Meetings and Meals,PROJ299 Music City Rodeo,33.16,1,USD,33.16,CEO,Down Home : Brand Ventures,,,Pizza Forte Hard Rock - NFR Vegas meal,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1151_pizza_forte_2024-12-07_33_15.jpg,,
267,12/7/24,DH: Travel Costs - Flights,,664.98,1,USD,664.98,CEO,,,,Southwest Airlines - Dallas retreat flight,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1152_southwest_2024-12-07_664_98.jpg,,
268,12/7/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,34.68,1,USD,34.68,CEO,Down Home : Brand Ventures,,,Uber from hotel to Las Vegas Airport - returning from NFR Finals,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1153_uber_2024-12-06_34_67.png,,
269,12/7/24,DH: Travel Costs - Hotel/Lodging,PROJ299 Music City Rodeo,40.6,1,USD,40.6,CEO,,,,Virgin Hotel Chow Fun - Dinner during Vegas trip,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1154_vhlv_chow_fun_2024-12-06_40_60.jpg,,
270,12/6/24,Company Meetings and Meals,PROJ299 Music City Rodeo,9.86,1,USD,9.86,CEO,Down Home : Brand Ventures,,,Starbucks - Breakfast while traveling in Vegas for NFR - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/145_missing_receipt_form.png,,
271,12/6/24,Company Meetings and Meals,PROJ299 Music City Rodeo,33.38,1,USD,33.38,CEO,Down Home : Brand Ventures,,,Cosmopolitan Bang Bar - NFR Las Vegas,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1137_the_cosmopolitan_2024-12-07_33_38.jpg,,
272,12/6/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,29.87,1,USD,29.87,CEO,Down Home : Brand Ventures,,,Curb Taxi - Las Vegas NFR transportation - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1138_missing_receipt_form.png,,
273,12/6/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,18.89,1,USD,18.89,CEO,,,,Taxi from airport - Las Vegas,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1139_not_listed_implied_taxi_servic_2024-12-04_18_89.jpg,,
274,12/6/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,43.49,1,USD,43.49,CEO,,,,Taxi to hotel - Las Vegas,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1140_desert_cab_2024-12-06_43_49.jpg,,
275,12/6/24,Company Meetings and Meals,PROJ299 Music City Rodeo,17.55,1,USD,17.55,CEO,Down Home : Brand Ventures,,,Port of Subs - NFR Las Vegas lunch,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1141_port_of_subs_053_2022-12-06_17_55.jpg,,
276,12/6/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,20.84,1,USD,20.84,CEO,Down Home : Brand Ventures,,,Uber to NFR afterparty venue - NFR Finals networking,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1143_uber_2024-12-06_20_83.jpg,,
277,12/6/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,54.93,1,USD,54.93,CEO,Down Home : Brand Ventures,,,Uber from Las Vegas Strip to hotel - NFR Finals week,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1144_uber_2024-12-05_54_92.jpg,,
278,12/6/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,35.21,1,USD,35.21,CEO,Down Home : Brand Ventures,,,Uber around Las Vegas - NFR Finals final day,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1145_uber_2024-12-05_35_21.jpg,,
279,12/5/24,Company Meetings and Meals,PROJ299 Music City Rodeo,38.82,1,USD,38.82,CEO,Down Home : Brand Ventures,,,Bonannos Pizzeria - NFR Las Vegas dinner,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1131_bonanno_s_pizzeria_mgm_dome_2024-12-05_38_82.jpg,,
280,12/5/24,Company Meetings and Meals,PROJ299 Music City Rodeo,24.25,1,USD,24.25,CEO,Down Home : Brand Ventures,,,Chick-fil-A - NFR Las Vegas lunch,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1132_chick_fil_a_2024-12-04_24_25.jpg,,
281,12/5/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,34.44,1,USD,34.44,CEO,Down Home : Brand Ventures,,,Desert Cab - Las Vegas NFR transportation - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1133_missing_receipt_form.png,,
282,12/5/24,Company Meetings and Meals,PROJ299 Music City Rodeo,26.5,1,USD,26.5,CEO,Down Home : Brand Ventures,,,Las Vegas Convention Center - NFR Film/TV event,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1134_las_vegas_convention_ctr_2024-12-05_26_50.jpg,,
283,12/5/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,21.51,1,USD,21.51,CEO,Down Home : Brand Ventures,,,Uber around Las Vegas - NFR Finals week events,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1136_uber_2024-12-05_21_51.jpg,,
284,12/4/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,37.18,1,USD,37.18,CEO,Down Home : Brand Ventures,,,Taxi - Las Vegas NFR,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1127_nellis_cab_2024-12-03_37_17.jpg,,
285,12/4/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,46.32,1,USD,46.32,CEO,Down Home : Brand Ventures,,,Curb Taxi - Las Vegas NFR transportation - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1128_missing_receipt_form.png,,
286,12/4/24,Company Meetings and Meals,PROJ299 Music City Rodeo,75.0,1,USD,75.0,CEO,Down Home : Brand Ventures,,,Professional Rodeo Cowboys Assn - NFR ticket,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1129_professional_rodeo_cowboy_2024-12-03_75_00.jpeg,,
287,12/3/24,Company Meetings and Meals,PROJ299 Music City Rodeo,708.64,1,USD,708.64,CEO,Down Home : Brand Ventures,,,Cosmopolitan Blue Ribbon - NFR event dinner,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1121_blue_ribbon_las_vegas_2024-12-03_708_63.jpg,,
288,12/3/24,DH: Travel Costs - Hotel/Lodging,PROJ299 Music City Rodeo,31.67,1,USD,31.67,CEO,,,,Resorts World Hilton - Golden Nugget prep,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1122_resorts_world_2024-12-03_31_67.jpg,,
289,12/3/24,Company Meetings and Meals,PROJ299 Music City Rodeo,22.37,1,USD,22.37,CEO,,,,Starbucks - Coffee during Golden Nugget prep,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1123_starbucks_2021-12-03_22_37.jpg,,
290,12/3/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,28.46,1,USD,28.46,CEO,Down Home : Brand Ventures,,,Uber from Las Vegas Airport to Downtown Las Vegas - NFR Finals week,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1124_uber_trip_2024-12-03_28_46.png,,
291,12/3/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,48.15,1,USD,48.15,CEO,Down Home : Brand Ventures,,,Uber from Downtown Las Vegas to Las Vegas Strip - NFR Finals week,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1125_uber_2024-12-04_48_14.jpg,,
292,12/3/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,24.22,1,USD,24.22,CEO,Down Home : Brand Ventures,,,Uber around Las Vegas - NFR Finals week networking,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1126_uber_2024-12-02_24_21.jpg,,
293,12/3/24,Software subscriptions,,23.14,1,USD,23.14,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4324_apple_apple_music_family_2024-12-03_23_14.png,,
294,12/2/24,Company Meetings and Meals,PROJ299 Music City Rodeo,11.0,1,USD,11.0,CEO,Down Home : Brand Ventures,,,South Point Catalina Bar - NFR event drinks - Missing Receipt,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1116_missing_receipt_form.png,,
295,12/2/24,Company Meetings and Meals,PROJ299 Music City Rodeo,12.25,1,USD,12.25,CEO,,,,Urban Juicer - Juice during Golden Nugget Vegas trip,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1117_the_urban_juicer_2024-12-02_12_25.jpg,,
296,12/2/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,51.07,1,USD,51.07,CEO,Down Home : Brand Ventures,,,Uber to Thomas & Mack Center - NFR Finals attendance,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1118_uber_2024-12-02_51_07.jpg,,
297,12/2/24,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,37.14,1,USD,37.14,CEO,Down Home : Brand Ventures,,,Uber from home office to Nashville Airport - departing for NFR Finals,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1119_uber_2024-12-02_37_14.jpg,,
298,12/2/24,Company Meetings and Meals,PROJ299 Music City Rodeo,20.14,1,USD,20.14,CEO,Down Home : Brand Ventures,,,Wendys - NFR Vegas quick meal,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1120_wendy_s_restaurant_6527_2024-12-02_20_14.jpg,,
299,12/1/24,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1115_expensify_2024-12-01_19_76.jpg,,
300,11/30/24,Software subscriptions,,100.0,1,USD,100.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1113_im_ada_ai_2024-11-30_100_00.jpg,,
301,11/30/24,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1114_midjourney_inc_2024-11-29_32_92.jpg,,
302,11/29/24,DH: Travel Costs - Hotel/Lodging,PROJ299 Music City Rodeo,123.17,1,USD,123.17,CEO,Down Home : Brand Ventures,,,Golden Nugget Hotel - NFR Vegas meal credit,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1111_golden_nugget_hotel_lv_2024-11-29_123_17.png,,
